brand,model,screen_size (inches),color,harddisk (in GB),cpu,ram (GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed (GHz),rating,price
HP,14-dq0070nr,14.00,Pale rose gold,64.00,Celeron N4020,4.00,Windows 11 S,Micro-edge Bezel,Integrated,,,4.30,199.99
ASUS,ROG Strix Scar 17,17.30,Off Black,1000.00,Ryzen 9,32.00,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4080,,4.10,2619.99
acer,A3SP14-31PT-37NV,14.00,Silver,128.00,Core i3,8.00,Windows 11 S,Pen,Integrated,,,4.50,426.64
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
ASUS,ASUS TUF Gaming F1,17.30,Graphite Black,512.00,Core i5,8.00,Windows 11 Home,Numeric Keypad,RTX 3050,,,4.50,783.95
Lenovo,IdeaPad Flex 5i Chromebook,13.30,Abyss Blue,128.00,Core i3,8.00,Chrome OS,Anti Glare Coating,Integrated,,,4.40,479.00
HP,,15.60,Silver,1000.00,Intel Core i5,16.00,Windows 11,Anti-glare,Integrated,Intel UHD Graphics,,4.10,553.00
Dell,Dell Latitude,14.00,Black,512.00,Core i7-8650U,16.00,Windows 10 Pro,TrackPoint,Integrated,,,4.00,399.00
HP,Chromebook 11 G9 EE,11.60,,,Celeron,4.00,Chrome OS,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,2.60,5.00,271.99
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
acer,Swift Go 14,14.00,Silver,512.00,Intel Core i7-1355U,16.00,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.30,762.19
ASUS,VivoBook S 15,15.60,Midnight Black,1000.00,Core i9,16.00,Windows 11 Home,,Integrated,Intel Iris,,3.70,989.99
